    129.00 
  0.000000  0.000000 
  0.007812  0.003701 
  0.015625  0.007171 
  0.023438  0.010418 
  0.031250  0.013450 
  0.039062  0.016275 
  0.046875  0.018900 
  0.054688  0.021334 
  0.062500  0.023584 
  0.070312  0.025656 
  0.078125  0.027559 
  0.085938  0.029298 
  0.093750  0.030881 
  0.101562  0.032314 
  0.109375  0.033604 
  0.117188  0.034757 
  0.125000  0.035778 
  0.132812  0.036674 
  0.140625  0.037450 
  0.148438  0.038113 
  0.156250  0.038666 
  0.164062  0.039117 
  0.171875  0.039469 
  0.179688  0.039728 
  0.187500  0.039899 
  0.195312  0.039986 
  0.203125  0.039994 
  0.210938  0.039927 
  0.218750  0.039790 
  0.226562  0.039586 
  0.234375  0.039320 
  0.242188  0.038995 
  0.250000  0.038616 
  0.257812  0.038186 
  0.265625  0.037708 
  0.273438  0.037186 
  0.281250  0.036623 
  0.289062  0.036022 
  0.296875  0.035386 
  0.304688  0.034718 
  0.312500  0.034022 
  0.320312  0.033298 
  0.328125  0.032552 
  0.335938  0.031783 
  0.343750  0.030996 
  0.351562  0.030192 
  0.359375  0.029374 
  0.367188  0.028543 
  0.375000  0.027702 
  0.382812  0.026853 
  0.390625  0.025997 
  0.398438  0.025135 
  0.406250  0.024271 
  0.414062  0.023405 
  0.421875  0.022539 
  0.429688  0.021674 
  0.437500  0.020811 
  0.445312  0.019952 
  0.453125  0.019098 
  0.460938  0.018251 
  0.468750  0.017410 
  0.476562  0.016578 
  0.484375  0.015754 
  0.492188  0.014941 
  0.500000  0.014138 
  0.507812  0.013346 
  0.515625  0.012567 
  0.523438  0.011801 
  0.531250  0.011048 
  0.539062  0.010309 
  0.546875  0.009584 
  0.554688  0.008875 
  0.562500  0.008180 
  0.570312  0.007502 
  0.578125  0.006839 
  0.585938  0.006193 
  0.593750  0.005564 
  0.601562  0.004951 
  0.609375  0.004356 
  0.617188  0.003777 
  0.625000  0.003217 
  0.632812  0.002674 
  0.640625  0.002148 
  0.648438  0.001641 
  0.656250  0.001151 
  0.664062  0.000680 
  0.671875  0.000227 
  0.679688 -0.000208 
  0.687500 -0.000625 
  0.695312 -0.001024 
  0.703125 -0.001404 
  0.710938 -0.001766 
  0.718750 -0.002109 
  0.726562 -0.002433 
  0.734375 -0.002739 
  0.742188 -0.003027 
  0.750000 -0.003295 
  0.757812 -0.003545 
  0.765625 -0.003776 
  0.773438 -0.003987 
  0.781250 -0.004179 
  0.789062 -0.004352 
  0.796875 -0.004505 
  0.804688 -0.004637 
  0.812500 -0.004750 
  0.820312 -0.004842 
  0.828125 -0.004914 
  0.835938 -0.004964 
  0.843750 -0.004993 
  0.851562 -0.005000 
  0.859375 -0.004984 
  0.867188 -0.004945 
  0.875000 -0.004882 
  0.882812 -0.004796 
  0.890625 -0.004684 
  0.898438 -0.004547 
  0.906250 -0.004384 
  0.914062 -0.004193 
  0.921875 -0.003975 
  0.929688 -0.003727 
  0.937500 -0.003449 
  0.945312 -0.003140 
  0.953125 -0.002799 
  0.960938 -0.002424 
  0.968750 -0.002015 
  0.976562 -0.001569 
  0.984375 -0.001086 
  0.992188 -0.000563 
  1.000000 -0.000000 
